customer_id,full_name,pan,age,gender,dependents,monthly_income_inr,employment_type,years_in_current_job,existing_loans,existing_emi_inr,loan_purpose,loan_amount_inr,loan_duration_months,housing_status,pincode,city,state
CUST-2026-D00037,Vamakshi Gara,CMURC3322E,22,F,1,83292,Homemaker,1,1,32253,Education Loan,2789696,60,Rent,952008,Katihar,Haryana
CUST-2026-D00038,Alexander Contractor,EHJDD6529B,42,M,3,24387,Salaried,8,1,10156,Car Loan,396046,36,Own,562561,Kumbakonam,Assam
CUST-2026-D00039,Aayush Walia,FLNHZ8427Q,56,M,3,20491,Self-Employed,10,1,6020,Home Loan,11835396,180,Own,339271,Ahmedabad,Odisha
CUST-2026-D00040,Odika Lal,BEGDB0828L,52,F,3,27087,Business,5,0,0,Car Loan,2134452,36,Rent,292582,Bhavnagar,Odisha
CUST-2026-D00041,Mekhala Bansal,BFFNI6618N,39,M,1,55493,Self-Employed,2,1,18513,Personal Loan,694369,60,Rent,239814,Tiruvottiyur,Mizoram
CUST-2026-D00042,Brinda Dutt,CGVTN6466X,26,F,3,91964,Salaried,5,1,16330,Personal Loan,1844679,36,Rent,376139,Howrah,Tamil Nadu
CUST-2026-D00043,Victor Gulati,WBXBP8554V,41,M,2,104572,Self-Employed,15,2,41666,Personal Loan,1870290,12,Own,127199,Shivpuri,Goa
CUST-2026-D00044,Anya Patla,QMOME3262T,35,M,2,185524,Salaried,3,2,76763,Car Loan,856529,48,Rent,216557,Karaikudi,Gujarat
CUST-2026-D00045,Irya Warrior,NHWAY7620M,47,F,2,32091,Salaried,5,0,0,Personal Loan,1625924,12,Rent,997042,Raipur,Telangana
CUST-2026-D00046,Laksh Doctor,UWTZP4852K,42,M,2,88751,Salaried,13,0,0,Personal Loan,1977882,48,Own,820335,Patna,Tripura
CUST-2026-D00047,Ojas Pandya,FVMGW0203R,25,M,3,164079,Professional,1,2,61718,Personal Loan,143097,36,Rent,763838,Srikakulam,Punjab
CUST-2026-D00048,Harini Bera,BGHFO7586X,31,F,3,89834,Salaried,5,2,18201,Car Loan,2416565,36,Own,252428,Junagadh,Gujarat
CUST-2026-D00049,Praneel Choudhry,NNLWN6948N,47,M,1,49792,Self-Employed,11,0,0,Personal Loan,498358,48,Rent,306657,Mehsana,Rajasthan
CUST-2026-D00050,Vihaan Puri,POMTK4870K,33,M,2,51230,Salaried,6,1,22543,Personal Loan,798956,12,Rent,314416,Noida,Odisha
CUST-2026-D00051,Faris Edwin,VZNNX3848X,35,M,1,40581,Business,14,2,18223,Car Loan,417079,36,Own,305174,Raiganj,Kerala
CUST-2026-D00052,Dhriti Bath,FWMDE7341W,31,F,4,51340,Self-Employed,9,1,17202,Personal Loan,881280,12,Rent,882240,Jaipur,Jharkhand
CUST-2026-D00053,Kevin Apte,HMFLW3599Z,63,M,0,63324,Business,8,2,13967,Personal Loan,94581,36,Own,497971,Miryalaguda,Jharkhand
CUST-2026-D00054,Jatin Tailor,WTBPE9785M,34,M,1,55124,Self-Employed,12,2,20692,Personal Loan,1821225,36,Own,831133,Srinagar,Arunachal Pradesh
CUST-2026-D00055,Nihal Nadig,FTVJC9280S,56,F,0,34615,Self-Employed,13,1,10127,Personal Loan,1944633,48,Rent,835604,Khammam,Uttar Pradesh
CUST-2026-D00056,Krisha Madan,EMIVL1903H,32,F,3,68635,Salaried,8,1,17404,Business Loan,6936828,60,Rent,869976,Motihari,Chhattisgarh
CUST-2026-D00057,Bhavya Ratta,IYLSF2475V,29,M,2,73343,Salaried,3,2,16638,Car Loan,493766,36,Own,978087,Anand,Tamil Nadu
CUST-2026-D00058,Owen Viswanathan,SGLPD4437I,29,M,0,16588,Self-Employed,6,0,0,Personal Loan,233815,60,Rent,936347,Meerut,Gujarat
CUST-2026-D00059,Abha Gade,LHWJG2224S,43,M,2,101823,Self-Employed,18,2,33597,Personal Loan,1441828,36,Own,580499,Raebareli,Andhra Pradesh
CUST-2026-D00060,Saksham Deep,INPGG9530O,52,M,1,69355,Salaried,15,1,30289,Car Loan,749220,36,Own,323811,Dewas,Arunachal Pradesh
CUST-2026-D00061,Qadim Sani,ICFJH9863M,41,M,0,108524,Salaried,11,0,0,Car Loan,408159,60,Own,668006,Delhi,Rajasthan
CUST-2026-D00062,Yahvi Randhawa,JLTXE4116E,29,F,2,95068,Business,6,1,16414,Personal Loan,1057937,48,Rent,418904,Srinagar,Goa
CUST-2026-D00063,Harita Saran,VPRDQ4148V,32,F,2,19161,Self-Employed,0,3,7622,Home Loan,8636219,300,Own,617844,Morena,Punjab
CUST-2026-D00064,Kala Thakkar,RTWDG0363T,21,F,0,25762,Salaried,0,0,0,Personal Loan,524229,36,Rent,117677,Muzaffarpur,Telangana
CUST-2026-D00065,Sathvik Chaudhry,WAHOK0968W,39,M,2,27789,Business,2,2,11698,Personal Loan,1619588,36,Own,665663,Pudukkottai,Gujarat
CUST-2026-D00066,Krish Soman,SYRFH7505N,43,M,4,32979,Salaried,11,0,0,Home Loan,12520379,300,Rent,450192,Malegaon,Uttarakhand
CUST-2026-D00067,Oliver Varty,JVCFV2369N,25,M,2,51227,Salaried,3,1,16170,Personal Loan,250667,24,Own,947137,Noida,Haryana
CUST-2026-D00068,Oviya Rana,KLBQE0994H,41,F,1,94192,Salaried,16,0,0,Car Loan,1165305,60,Rent,492818,New Delhi,Himachal Pradesh
CUST-2026-D00069,Gaurika Tandon,OSUKT0851H,40,M,2,27008,Business,8,0,0,Car Loan,1400477,36,Rent,672300,Jalandhar,Uttar Pradesh
CUST-2026-D00070,Balvan Sarkar,ISKGK1800X,50,M,3,34121,Self-Employed,2,2,10502,Car Loan,2174891,84,Rent,257727,Satna,Gujarat
CUST-2026-D00071,Brinda Goyal,AGPRE6453U,36,F,2,96024,Professional,1,0,0,Car Loan,1316867,48,Rent,413085,Rohtak,Andhra Pradesh
CUST-2026-D00072,Rohan Patla,AZKKH8304G,48,M,3,32215,Self-Employed,23,3,14442,Marriage Loan,1466439,36,Own,457547,Kozhikode,Kerala
CUST-2026-D00073,Lucky Mody,VNJMS1973H,24,F,4,76089,Salaried,1,1,27195,Home Loan,8801798,300,Rent,947526,Davanagere,Manipur
CUST-2026-D00074,Avi Pant,PUFOW6903F,36,F,1,28226,Salaried,8,3,8504,Personal Loan,989611,60,Own,166464,Ajmer,Punjab
CUST-2026-D00075,Ladli Badami,RUPGV9087Z,40,M,2,63578,Professional,10,2,15058,Business Loan,4146640,36,Family,264137,Ratlam,Madhya Pradesh
CUST-2026-D00076,Mitesh Borah,ZWMRA8185Y,28,M,2,35826,Salaried,0,0,0,Car Loan,1039712,84,Rent,472069,Bhopal,Goa
CUST-2026-D00077,Tristan Oza,RPXEB1635U,38,M,0,61656,Self-Employed,5,2,21522,Personal Loan,819522,36,Rent,215581,Madurai,Rajasthan
CUST-2026-D00078,Radha Comar,RGFWG6444O,44,F,3,56492,Self-Employed,15,2,22136,Marriage Loan,1246316,36,Own,242489,Jodhpur,Tamil Nadu
CUST-2026-D00079,Widisha Sampath,FDVYN5664D,39,F,2,93625,Salaried,12,2,22454,Business Loan,6490690,24,Rent,694281,Karaikudi,Rajasthan
CUST-2026-D00080,Eta Pai,HPTIG3062E,39,M,2,249900,Business,14,1,101231,Home Loan,10984805,180,Rent,716107,Darbhanga,Mizoram
CUST-2026-D00081,Devansh Bandi,IDLFH1255F,52,F,4,51041,Self-Employed,19,0,0,Personal Loan,1712024,48,Family,632722,Shimoga,Karnataka
CUST-2026-D00082,Anika Mohanty,NWSNU5434D,49,M,0,52680,Self-Employed,2,1,10331,Personal Loan,1649031,36,Own,899825,Rajpur Sonarpur,Manipur
CUST-2026-D00083,Anay Lala,XAGCT9673D,41,M,1,72684,Professional,15,3,16524,Car Loan,2324810,84,Family,591363,Yamunanagar,Bihar
CUST-2026-D00084,Barkha Talwar,IZQQD1757C,38,F,4,19221,Salaried,9,2,5560,Home Loan,10858832,240,Family,621714,Purnia,Uttar Pradesh
CUST-2026-D00085,Yashodhara Keer,MFTOB0018N,44,M,2,38258,Self-Employed,9,1,9698,Personal Loan,916407,12,Family,578155,Baranagar,Madhya Pradesh
CUST-2026-D00086,Ekansh Mammen,KGPLW0924C,44,M,0,25489,Business,17,0,0,Business Loan,5638239,36,Rent,766373,Unnao,Karnataka
CUST-2026-D00087,Anmol Batta,TDAVV0633W,42,M,1,33801,Salaried,18,0,0,Personal Loan,1049364,12,Rent,410745,Bikaner,West Bengal
CUST-2026-D00088,Rehaan Sampath,MURQW0056L,37,M,2,77839,Self-Employed,0,1,32281,Personal Loan,661172,48,Own,981449,Jaipur,Bihar
CUST-2026-D00089,Tejas Jani,OUYBS8240Z,33,F,2,225389,Business,6,0,0,Personal Loan,337815,48,Rent,344342,Ahmedabad,Maharashtra
CUST-2026-D00090,Qadim Deshmukh,LABJY0406F,50,M,1,77078,Salaried,5,0,0,Business Loan,9876085,12,Own,131653,Belgaum,Tamil Nadu
CUST-2026-D00091,Henry Mukherjee,EMSRB0219S,29,M,4,90287,Salaried,7,3,27169,Car Loan,1144488,84,Own,180800,Gurgaon,Madhya Pradesh
CUST-2026-D00092,Faras Luthra,SRLRX0762O,34,F,2,32542,Professional,4,0,0,Marriage Loan,593879,48,Rent,715169,Chandrapur,West Bengal
CUST-2026-D00093,Anusha Dasgupta,HPETB9677N,59,M,1,84122,Business,24,1,37635,Personal Loan,975374,24,Rent,451205,Mahbubnagar,Uttarakhand
CUST-2026-D00094,Zashil Solanki,BVTFQ5124G,45,F,3,53476,Salaried,24,0,0,Education Loan,4179981,84,Own,170245,Warangal,Jharkhand
CUST-2026-D00095,Teerth Thaker,WSCCH8083V,43,M,1,72859,Professional,16,1,11380,Business Loan,9506661,12,Family,134442,Sultan Pur Majra,Himachal Pradesh
CUST-2026-D00096,Qarin Sharaf,BWSAU5910L,37,F,1,93029,Business,0,1,31209,Car Loan,1868324,36,Rent,793761,Jalgaon,Gujarat
CUST-2026-D00097,Yashvi Dave,DUYSQ6521I,40,F,3,22621,Business,7,2,9926,Business Loan,5894953,24,Rent,289043,Srikakulam,Kerala
CUST-2026-D00098,Utkarsh Saran,TYLCZ5047V,40,M,4,94033,Self-Employed,18,1,29801,Business Loan,6012098,12,Rent,425311,Chapra,Andhra Pradesh
CUST-2026-D00099,Mugdha Butala,QIGUU3294M,26,M,3,15000,Salaried,1,1,5032,Personal Loan,1169275,36,Rent,459279,Bhusawal,Assam
CUST-2026-D00100,Tanvi Chhabra,PHRDD2754Y,44,M,3,42779,Salaried,12,1,11602,Car Loan,1524615,60,Rent,505130,Kolkata,Gujarat
CUST-2026-D00101,Wyatt Misra,XFVTO6958A,39,F,0,151978,Salaried,0,1,49493,Home Loan,11576299,120,Rent,705354,Raipur,Chhattisgarh
CUST-2026-D00102,Dayita Ghose,BRQLZ9532I,47,M,3,372604,Self-Employed,19,0,0,Personal Loan,242280,60,Family,223255,Hubli–Dharwad,Punjab
CUST-2026-D00103,Ekiya Bakshi,VMDKU1556P,46,F,3,87745,Self-Employed,5,2,26547,Personal Loan,889927,60,Own,413233,Bihar Sharif,Madhya Pradesh
CUST-2026-D00104,Yamini Basak,IRRQH1119K,42,M,2,15053,Salaried,17,0,0,Personal Loan,552865,60,Rent,715135,Chandrapur,Meghalaya
CUST-2026-D00105,Tejas Pall,HCQGY6949J,31,M,0,61773,Salaried,5,1,13716,Personal Loan,1464315,60,Own,119162,Varanasi,Tamil Nadu
CUST-2026-D00106,Vincent Joshi,ZVHIC8116U,40,M,1,39858,Salaried,5,2,17314,Education Loan,4964493,60,Family,636872,Fatehpur,Goa
CUST-2026-D00107,Patrick Vasa,OSKVS7063S,37,M,3,58272,Self-Employed,6,1,14310,Personal Loan,839338,48,Own,171231,Jaipur,Andhra Pradesh
CUST-2026-D00108,Michael Dave,NIUYT7949K,38,M,2,47533,Salaried,13,2,20438,Education Loan,292093,120,Rent,269317,Ranchi,Assam
CUST-2026-D00109,Brinda Patil,RBSFO5893L,44,F,0,68237,Professional,14,0,0,Personal Loan,1242560,36,Rent,334906,Begusarai,Karnataka
CUST-2026-D00110,Chakrika Bali,EMZBW7248R,36,F,2,19684,Homemaker,12,0,0,Personal Loan,1824458,12,Rent,141650,Bhusawal,Gujarat
CUST-2026-D00111,Banjeet Gill,AYWLW4653B,33,M,0,37614,Self-Employed,12,2,13101,Education Loan,2356273,180,Rent,453885,Fatehpur,Madhya Pradesh
CUST-2026-D00112,Ladli Pradhan,ZDLSP1649U,42,M,0,50372,Professional,18,0,0,Home Loan,6511924,180,Family,231222,Rampur,Bihar
CUST-2026-D00113,Indira Desai,CBVFI0695A,27,M,0,88272,Salaried,0,0,0,Personal Loan,1005926,12,Rent,539724,Firozabad,Sikkim
CUST-2026-D00114,Aayush Pillai,HMBLP1166R,27,M,3,56416,Salaried,4,2,12111,Car Loan,1439399,84,Rent,974242,Satara,Odisha
CUST-2026-D00115,Jeet Mann,NMESY1786E,42,M,2,79044,Business,20,1,33864,Personal Loan,1352598,12,Rent,734725,Vellore,Chhattisgarh
CUST-2026-D00116,Kai Mani,IDUFZ7199J,47,M,2,123736,Self-Employed,6,1,55387,Education Loan,4907899,84,Family,757421,Motihari,Mizoram
CUST-2026-D00117,Lucky Koshy,CKIIS3341D,39,F,3,278295,Salaried,14,3,53949,Personal Loan,110531,24,Own,932344,Loni,Nagaland
CUST-2026-D00118,Alka Mitter,PJSQP2822H,32,F,2,41692,Salaried,4,2,14764,Business Loan,5807665,36,Rent,607763,Yamunanagar,Assam
CUST-2026-D00119,Ayushman Swamy,NIBKQ3991V,52,F,1,41555,Salaried,6,0,0,Personal Loan,1796598,12,Rent,875951,Morena,Rajasthan
CUST-2026-D00120,Xalak Mitra,LTFYL4401V,24,M,2,77137,Business,3,1,28467,Education Loan,3639226,120,Own,665976,Guna,Arunachal Pradesh
CUST-2026-D00121,Sudiksha Boase,XOYMW8151Z,42,F,1,41644,Salaried,7,0,0,Education Loan,3777258,84,Rent,857799,Kishanganj,Chhattisgarh
CUST-2026-D00122,Banjeet Bhattacharyya,POIUS3250E,35,F,3,34520,Self-Employed,13,0,0,Personal Loan,80355,24,Rent,665281,Thrissur,Telangana
CUST-2026-D00123,Shravya Jain,FHUNJ2778K,62,M,0,136258,Self-Employed,30,1,35148,Personal Loan,1443183,24,Family,980016,Mehsana,Rajasthan
CUST-2026-D00124,Tarak Basu,JWFPC9961O,33,F,2,39769,Self-Employed,12,1,9976,Business Loan,8688062,60,Rent,614099,Bhatpara,Rajasthan
CUST-2026-D00125,Qarin Dass,AFQJH6448V,49,M,2,90862,Business,17,0,0,Personal Loan,174544,60,Rent,292185,Tumkur,Uttarakhand
CUST-2026-D00126,Bachittar Mitra,RWPDN2783E,58,M,1,139212,Salaried,21,1,58977,Car Loan,1453609,60,Family,844230,Patna,Sikkim
CUST-2026-D00127,Maya Prabhu,EQUPE1423X,37,M,0,15000,Business,10,0,0,Car Loan,1218773,60,Own,186272,Bhavnagar,Jharkhand
CUST-2026-D00128,Mason Balay,DCBSF8363C,37,M,0,82285,Salaried,1,0,0,Car Loan,638553,84,Rent,418854,Ramgarh,Uttarakhand
CUST-2026-D00129,Sai Sachdeva,NKFSH4038J,36,M,1,47962,Salaried,6,1,9268,Home Loan,11226129,240,Own,152333,Belgaum,Mizoram
CUST-2026-D00130,Varenya Buch,TOVZP3006Z,57,F,2,72064,Self-Employed,9,0,0,Education Loan,4994568,60,Family,800987,Haridwar,Telangana
CUST-2026-D00131,Chavvi Srinivas,TSBVY1267O,39,F,3,146405,Business,2,0,0,Personal Loan,1457372,60,Rent,362132,Proddatur,Goa
CUST-2026-D00132,Zashil Kata,CHEAL0953H,28,F,1,41338,Self-Employed,5,1,10911,Personal Loan,1171571,48,Rent,398928,Surat,Goa
CUST-2026-D00133,Chandani Kumer,VRDYQ1868O,39,M,0,26232,Business,7,2,4618,Car Loan,336261,48,Family,729978,Singrauli,Kerala
CUST-2026-D00134,Neel Lanka,OHRHM3647O,40,F,2,102650,Professional,7,0,0,Car Loan,605777,48,Family,301857,Dehradun,Andhra Pradesh
CUST-2026-D00135,Ubika Shetty,CQQDQ4198Y,43,F,2,110562,Professional,13,2,31384,Business Loan,5147410,36,Own,301386,Ongole,Rajasthan
CUST-2026-D00136,Peter Narang,GPGXK7289C,63,F,1,45316,Self-Employed,15,1,10964,Personal Loan,808684,36,Own,545327,Tadepalligudem,Arunachal Pradesh
CUST-2026-D00137,Mitesh Sibal,RAMTS0613K,39,M,1,29685,Self-Employed,11,3,7017,Car Loan,1316040,36,Family,495361,Orai,Bihar
CUST-2026-D00138,Ganga Sampath,EXXNH5233V,41,F,0,45364,Self-Employed,10,1,12151,Personal Loan,361514,48,Family,798354,Ozhukarai,Gujarat
CUST-2026-D00139,Gaurav Kapur,CRRCU7701A,34,M,3,56100,Salaried,9,1,17646,Personal Loan,389044,12,Rent,263539,Kharagpur,Goa
CUST-2026-D00140,Nikita Karpe,EHGLZ5441V,34,M,0,133863,Self-Employed,1,0,0,Personal Loan,824170,12,Rent,889913,Jodhpur,Goa
CUST-2026-D00141,Daksh Chadha,UKEZP0232X,45,F,4,22915,Self-Employed,10,0,0,Personal Loan,1702790,48,Rent,832746,Nadiad,Gujarat
CUST-2026-D00142,Raksha Nori,IDDOR2275G,58,M,1,64675,Salaried,7,1,15315,Personal Loan,1741422,60,Rent,588435,South Dumdum,Rajasthan
CUST-2026-D00143,Radha Nagar,CJSCG6724F,38,F,0,38819,Retired,6,3,17458,Personal Loan,1401948,24,Rent,639398,Gulbarga,Punjab
CUST-2026-D00144,Vasana Prasad,YAWGU0547N,51,M,5,55739,Salaried,19,3,17628,Personal Loan,318870,24,Family,582656,Karawal Nagar,Manipur
CUST-2026-D00145,Qadim Sha,IOAEY8361W,60,F,2,136017,Professional,3,0,0,Car Loan,1106418,36,Own,936367,Kavali,Punjab
CUST-2026-D00146,Sanya Shetty,DQKGJ3030F,45,F,1,64035,Business,9,0,0,Marriage Loan,138821,12,Rent,766557,Karawal Nagar,Arunachal Pradesh
CUST-2026-D00147,Reyansh Dara,VNIQZ5865J,38,M,0,36507,Salaried,4,3,10996,Business Loan,9867626,36,Rent,337515,Unnao,Andhra Pradesh
CUST-2026-D00148,Rajata Murthy,SHSHH9313X,39,F,1,42175,Business,0,1,15392,Car Loan,2234536,36,Own,463020,Thiruvananthapuram,Chhattisgarh
CUST-2026-D00149,Pushti Zachariah,RQLRP9162S,49,M,1,32495,Salaried,20,0,0,Personal Loan,888196,48,Own,166505,Gorakhpur,Chhattisgarh
CUST-2026-D00150,Krish Kannan,UPYTY9424C,33,F,2,40024,Professional,7,0,0,Personal Loan,1533685,36,Rent,803338,Jaipur,Kerala
CUST-2026-D00151,Caleb Iyer,KEYTY9716L,41,F,4,98721,Salaried,19,1,20557,Home Loan,7971926,120,Rent,874277,Nellore,Haryana
CUST-2026-D00152,Tanay Varughese,TAJUS5382L,51,M,2,105076,Self-Employed,27,2,29428,Marriage Loan,636390,12,Rent,945438,Udaipur,Manipur
CUST-2026-D00153,Vamakshi Pandey,YHZRF0378K,30,F,0,108955,Self-Employed,1,1,47576,Personal Loan,113929,36,Rent,950589,Sri Ganganagar,Karnataka
CUST-2026-D00154,Brinda Badal,TDIMP1235O,38,M,2,28531,Salaried,6,0,0,Business Loan,7007380,24,Rent,166500,Vasai-Virar,Goa
CUST-2026-D00155,Tanay Ratta,UYFVS9748B,56,M,1,81401,Salaried,1,2,21269,Education Loan,3438253,120,Rent,464395,Arrah,Karnataka
CUST-2026-D00156,Urishilla Natt,ILHID4985G,45,M,0,38333,Professional,18,0,0,Home Loan,4280994,120,Rent,582310,Nangloi Jat,Rajasthan
CUST-2026-D00157,Akshay Singh,ECYTD7968J,46,F,2,171300,Self-Employed,18,2,28025,Car Loan,2036004,84,Rent,298850,Rohtak,Nagaland
CUST-2026-D00158,Garima Chokshi,CUIYM1430I,32,F,0,73197,Salaried,4,0,0,Business Loan,9242047,12,Own,756093,Khandwa,Tamil Nadu
CUST-2026-D00159,Aarush Gill,YGFCE4997D,26,F,0,35529,Salaried,2,3,14141,Home Loan,1766354,120,Rent,583488,Secunderabad,Kerala
CUST-2026-D00160,Anamika Nagarajan,EUAGO9938R,41,M,2,94601,Self-Employed,6,2,39409,Car Loan,385517,36,Family,247227,Pali,Goa
CUST-2026-D00161,Dayamai Yohannan,PPNVS5345O,40,M,3,195645,Salaried,1,0,0,Personal Loan,1919010,60,Family,462033,Chandigarh,Sikkim
CUST-2026-D00162,Ekbal Bumb,RNFRA8232Y,44,F,1,101719,Professional,10,0,0,Business Loan,4040959,36,Rent,669502,Gorakhpur,Kerala
CUST-2026-D00163,Ekani Kant,NHIER7391X,29,M,2,15000,Professional,8,0,0,Personal Loan,1237137,24,Rent,300503,Meerut,Uttarakhand
CUST-2026-D00164,Zayan Ranganathan,CAEFD3653R,29,F,1,110868,Self-Employed,1,1,20448,Car Loan,1275960,84,Rent,229003,Chennai,West Bengal
CUST-2026-D00165,Dipta Halder,ZESMK4876M,36,F,2,53847,Retired,7,1,23545,Personal Loan,1371570,60,Own,333679,Agartala,Meghalaya
CUST-2026-D00166,Omkaar Bajaj,ARFKU4331W,39,M,1,75808,Self-Employed,2,0,0,Car Loan,1122313,60,Family,605864,Bhatpara,Arunachal Pradesh
CUST-2026-D00167,Irya Singh,XUINY1476O,37,F,1,254496,Professional,10,1,75956,Personal Loan,1346446,60,Rent,661726,Allahabad,Chhattisgarh
CUST-2026-D00168,Irya Lad,INGBO6277G,55,M,1,52542,Homemaker,11,0,0,Car Loan,1663408,84,Own,951630,Satna,Haryana
CUST-2026-D00169,Yuvraj Kulkarni,BIASJ8386D,52,F,2,21293,Self-Employed,29,1,5130,Personal Loan,1670932,36,Rent,245702,Gorakhpur,Uttarakhand
